freq,d,giki,gucx,gx,hc,hs,lbir,ldort,lf,lo,luc,lx,wbesx,wbesy,wbir,wdort,wiki,wuc,wy,real,ima,mag,db
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,84.0,88.0,25.0,21.0,50.0,36.0,110.0,0.13246513903141022,-0.056660573929548264,0.14407440333604246,-16.82826340625274
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,84.0,88.0,25.0,21.0,50.0,36.0,112.0,0.12266965210437775,0.0009272126480937004,0.12267315627595082,-18.225009211093848
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,84.0,88.0,25.0,21.0,50.0,36.0,114.0,0.12282625585794449,0.060385562479496,0.13686747343341427,-17.273994994483957
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,84.0,88.0,25.0,21.0,50.0,36.0,110.0,0.15487681329250336,-0.053941648453474045,0.1640016119845141,-15.703037664346184
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,84.0,88.0,25.0,21.0,50.0,36.0,112.0,0.14344806969165802,-0.0025114952586591244,0.1434700536930862,-16.864774783207906
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,84.0,88.0,25.0,21.0,50.0,36.0,114.0,0.14344394207000732,0.05445799604058266,0.15343349650366356,-16.281596359415826
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,84.0,25.0,21.0,50.0,36.0,110.0,0.07187534868717194,0.01788252592086792,0.07406652740754802,-22.607560333400766
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,84.0,25.0,21.0,50.0,36.0,112.0,0.0792696624994278,0.08631429821252823,0.11719145646630749,-18.622080965127186
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,84.0,25.0,21.0,50.0,36.0,114.0,0.10027372092008591,0.1511930674314499,0.18142260814598116,-14.826171877906152
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,84.0,25.0,21.0,50.0,36.0,110.0,0.09675674140453339,0.013887706212699413,0.09774832679424234,-20.197813357976322
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,84.0,25.0,21.0,50.0,36.0,112.0,0.10279892385005951,0.07852862775325775,0.12936137028317246,-17.763907854725044
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,84.0,25.0,21.0,50.0,36.0,114.0,0.12166938185691833,0.1403283178806305,0.18572957567563625,-14.622378669416946
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,86.0,84.0,25.0,21.0,50.0,36.0,110.0,0.11851473897695541,0.009121149778366089,0.11886521243852326,-18.49890458240543
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,86.0,84.0,25.0,21.0,50.0,36.0,112.0,0.12334069609642029,0.07073065638542175,0.14218211232873884,-16.943100759266226
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,114.0,86.0,84.0,25.0,21.0,50.0,36.0,114.0,0.14120608568191528,0.12959237396717072,0.19165944282517214,-14.349395574543806
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,86.0,25.0,21.0,50.0,36.0,110.0,0.07418866455554962,-0.031988006085157394,0.08079102971147187,-21.85273713180399
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,86.0,25.0,21.0,50.0,36.0,112.0,0.07134615629911423,0.03571457788348198,0.07978599558853006,-21.961466627212584
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,110.0,86.0,86.0,25.0,21.0,50.0,36.0,114.0,0.0817318856716156,0.10401589423418045,0.13228532567437046,-17.569766582933077
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,86.0,25.0,21.0,50.0,36.0,110.0,0.09910165518522263,-0.03322945162653923,0.10452432499591315,-19.615652567681398
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,86.0,25.0,21.0,50.0,36.0,112.0,0.09589596837759018,0.030561041086912155,0.10064797058754692,-19.943899551426153
886.4000244140625,2.0,0.5,5.0,4.0,0.2,1.6,12.5,2.0,4.0,29.0,17.0,112.0,86.0,86.0,25.0,21.0,50.0,36.0,114.0,0.10466758906841278,0.09543544799089432,0.14164472787441407,-16.975991712339386
